XKoord,YKoord,GEMNR,GEMNAME,ErrOEV2000,ErrIV2000,F1_ErrTot,F2_IVlastig,AnteilOEV
679300,235850,1,Aeugst am Albis,1379,12041,-.245550024113291,.282240400589522,.102757078986587
676940,237310,2,Affoltern am Albis,8980,29027,1.24497334217442,.227184402173057,.236272265635278
677880,241480,3,Bonstetten,4947,19277,.422251100358116,.178112582649042,.204218956406869
683030,233220,4,Hausen am Albis,2729,20094,.236817858523262,.807087176946505,.119572361214564
676480,239100,5,Hedingen,5833,36828,1.26889979785074,1.82468009935747,.136729096833173
682102,232192,6,Kappel am Albis,994,10343,-.357245668242917,.196107409746409,.0876775160977331
677850,231050,7,Knonau,3700,32335,.862452596764562,1.86917763346958,.10267795199112
674870,232120,8,Maschwanden,612,27732,.356208045024979,2.13547072739298,.0215918712955123
677670,233140,9,Mettmenstetten,5474,27357,.823879056528073,.907027908380834,.16673266120435
675210,235400,10,Obfelden,3600,20256,.330502544072411,.611347646969245,.150905432595573
673150,237290,11,Ottenbach,1952,31156,.637536995071204,2.17135880785146,.0589585598646853
680150,232960,12,Rifferswil,783,23283,.180961381314681,1.62137055952814,.0325355272999252
679590,242200,13,Stallikon,2699,26277,.501032510091591,1.47079372167237,.0931460519050249
678350,243640,14,Wettswil am Albis,3671,10790,-.0715075906043671,-.410897676795048,.253855196736049
696320,270700,21,Adlikon,624,17445,-.0871536740401956,1.04049401018953,.0345342852399137
691370,278880,22,Benken (ZH),796,24104,.217734946209182,1.70534776773859,.0319678714859438
687330,269520,23,Berg am Irchel,560,11607,-.345814123918548,.436392408605861,.0460261362702392
688900,267500,24,Buch am Irchel,668,12963,-.276465757962245,.553938869919812,.0490059423373193
688430,280430,25,Dachsen,7823,16856,.60385255395128,-.782002816190208,.316990153571863
691150,269910,26,Dorf,712,24750,.237292180502414,1.79446140014652,.0279632393370513
690566,283188,27,Feuerthalen,9472,12239,.56843947345615,-1.6752703755964,.436276541845148
688120,270170,28,Flaach,1239,17429,-.0266389889516815,.888443834900662,.0663702592671952
689670,283350,29,Flurlingen,11890,18290,1.07057995774174,-1.62404955666226,.393969516235918
693400,272390,30,Andelfingen,4773,25565,.676672168946647,.888169963003244,.157327444129475
693820,268990,31,Henggart,8093,36220,1.4675449721677,1.20762452146432,.182632636021032
692500,270050,32,Humlikon,848,30381,.494172655108188,2.358986237792,.0271542476544238
694010,273260,33,Kleinandelfingen,2024,13190,-.131703827676053,.24652957908163,.133035362166426
690060,280730,34,Laufen-Uhwiesen,1426,15367,-.097138331958101,.623830222965914,.0849163341868636
691160,275810,35,Marthalen,2471,20619,.233829182889049,.925894258907015,.107016024252923
702380,276300,36,Oberstammheim,1041,11257,-.313069325156308,.281645148943911,.0846479102293056
696900,274390,37,Ossingen,1637,22368,.226411291691834,1.31545537777384,.0681941262237034
