Kant;GEMNR;Tax_Tot;Tax_Capita;Population;Gemeinde
1;1;4230551;2740;1544;Aeugst am Albis
1;2;9959237;966;10314;  Affoltern am Albis
1;3;7324192;1881;3893;  Bonstetten
1;4;4162514;1369;3040;  Hausen am Albis
1;5;5047621;1688;2991;  Hedingen
1;6;1336881;1546;865;  Kappel am Albis
1;7;1516712;1050;1445;  Knonau
1;8;344947;624;553;  Maschwanden
1;9;5708192;1533;3724;  Mettmenstetten
1;10;4276318;1023;4182;  Obfelden
1;11;3033025;1402;2164;  Ottenbach
1;12;1518379;2127;714;  Rifferswil
1;13;5900895;2263;2608;  Stallikon
1;14;11465826;3030;3784;  Wettswil am Albis
1;21;640213;1091;587;  Adlikon
1;22;649314;922;704;  Benken (ZH)
1;23;890774;1555;573;  Berg am Irchel
1;24;841336;1156;728;  Buch am Irchel
1;25;2002058;1306;1533;  Dachsen
1;26;748585;1262;593;  Dorf
1;27;2962898;997;2973;  Feuerthalen
1;28;1229223;1056;1164;  Flaach
1;29;1987965;1593;1248;  Flurlingen
1;30;2377079;1446;1644;  Andelfingen
1;31;2133777;1316;1621;  Henggart
1;32;442791;1085;408;  Humlikon
1;33;1681469;923;1821;  Kleinandelfingen
1;34;2185281;1596;1369;  Laufen-Uhwiesen
1;35;1498749;831;1803;  Marthalen
1;36;711561;669;1064;  Oberstammheim
1;37;838866;659;1272;  Ossingen
1;38;1012163;615;1645;  Rheinau
1;39;625492;982;637;  Thalheim an der Thur
1;40;752974;761;989;  Trüllikon
1;41;256002;589;435;  Truttikon
1;42;765582;906;845;  Unterstammheim
1;43;247359;923;268;  Volken
1;44;431945;631;684;  Waltalingen
1;51;4285920;1390;3083;  Bachenbülach
1;52;15750773;2096;7515;  Bassersdorf
1;53;16262635;1162;13999;  Bülach
1;54;8617832;1372;6281;  Dietlikon
1;55;4307146;1489;2893;  Eglisau
1;56;7433100;960;7744;  Embrach
1;57;2339952;1100;2127;  Freienstein-Teufen
1;58;3181578;898;3544;  Glattfelden
1;59;1771800;1122;1579;  Hochfelden
1;60;1468528;638;2300;  Höri
1;61;1024348;1310;782;  Hüntwangen
1;62;17369319;1010;17190;  Kloten
1;63;2362510;2016;1172;  Lufingen
1;64;11855935;2649;4475;  Nürensdorf
1;65;1186011;1198;990;  Oberembrach
1;66;13251908;1099;12062;  Opfikon
1;67;3715763;1094;3395;  Rafz
1;68;1592496;724;2201;  Rorbas
1;69;20357705;1705;11939;  Wallisellen
1;70;422262;754;560;  Wasterkingen
1;71;1535907;1166;1317;  Wil (ZH)
1;72;9681803;2919;3317;  Winkel
1;81;394689;684;577;  Bachs
1;82;3213418;3157;1018;  Boppelsen
1;83;5495999;1314;4182;  Buchs (ZH)
