HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
1000011000	1	0	3	1	1
1000032400	1	0	9	1	1
1000039700	4	0	11	1	1
1000039701	4	0	9	1	230
1000072700	5	0	9	1	1
2000001800	2	0	11	1	2
2000001801	2	0	15	2	4195
2000032800	1	0	5	1	2
2000036000	2	0	7	2	2
2000050100	1	0	15	2	2
2000053400	5	0	17	2	2
2000061300	1	0	5	1	2
2000066000	1	0	15	1	2
2000102900	2	0	7	0	2
2000108200	2	0	5	2	2
2000137500	4	0	15	1	2
2000165000	4	0	9	1	2
2000172400	2	0	9	0	2
2000176700	1	0	19	0	2
2000184800	7	0	5	2	2
2000221600	4	0	15	1	2
2000221800	1	0	5	1	2
2000223400	2	0	7	1	2
2000231000	1	0	7	1	2
2000252400	3	0	7	1	2
2000294000	5	0	7	1	2
2000299500	2	0	7	1	2
2000303301	3	0	5	0	4551
2000303400	2	0	9	2	2
2000307100	3	0	13	1	2
2000327600	1	0	11	1	2
2000342900	1	0	9	2	2
2000363500	3	0	11	1	2
2000366900	3	0	7	0	2
2000395600	3	0	13	1	2
2000418800	1	0	9	0	2
2000423200	3	0	9	2	2
2000438800	2	0	5	0	2
2000444200	5	0	9	2	2
2000444700	6	0	9	2	2
2000446500	3	0	7	2	2
2000446501	1	0	9	1	4252
3000003100	5	0	15	1	3
3000006600	2	0	9	1	3
3000033900	4	0	3	2	3
3000036200	1	0	7	1	3
3000045800	1	0	7	1	3
3000052700	3	0	7	1	3
3000065800	1	0	5	0	3
3000065801	1	0	3	0	4082
3000092500	1	0	13	1	3
3000123600	5	0	17	2	3
3000133900	3	0	13	2	3
3000137700	4	0	7	1	3
3000145200	3	0	17	3	3
3000162900	2	0	9	1	3
3000195500	3	0	7	1	3
3000203900	2	0	5	2	3
3000213900	4	0	19	2	3
3000214600	4	0	7	1	3
4000002900	5	0	13	2	4
4000011900	4	0	13	1	4
4000034200	1	0	9	1	4
4000045700	1	0	5	0	4
4000048900	2	0	9	2	4
4000069700	1	0	7	1	4
4000109300	2	0	9	2	4
4000109600	1	0	9	3	4
4000117200	1	0	19	1	4
4000124000	4	0	9	0	4
4000131500	1	0	5	0	4
4000137000	2	0	5	1	4
4000138400	2	0	7	1	4
5000019800	3	0	11	3	5
5000035700	2	0	7	1	5
5000046100	3	0	9	1	5
5000049200	2	0	11	1	5
5000060100	2	0	19	2	5
5000064000	2	0	13	1	5
5000107200	1	0	13	2	5
5000116400	3	0	11	1	5
5000130700	1	0	7	1	5
6000014300	1	0	11	1	6
6000028700	3	0	13	1	6
6000032600	1	0	15	2	6
7000034700	1	0	13	1	7
7000051700	2	0	7	2	7
9000006800	4	0	19	2	9
9000014400	1	0	11	2	9
9000020700	5	0	15	1	9
9000025700	1	0	7	1	9
9000069300	4	0	7	1	9
9000069301	4	0	9	1	4141
9000075500	2	0	5	3	9
9000075501	2	0	3	1	261
9000106000	2	0	17	2	9
9000106001	2	0	7	1	195
9000124800	4	0	3	1	9
9000128000	1	0	5	1	9
9000131000	4	0	7	0	9
9000132700	2	0	13	1	9
9000139300	1	0	19	2	9
9000150800	1	0	3	0	9
9000173500	3	0	11	3	9
10000006800	4	0	7	2	10
10000014600	1	0	7	1	10
10000020000	3	0	15	1	10
10000039200	2	0	9	0	10
10000039201	2	0	7	1	1055
10000042400	8	0	9	3	10
10000047700	2	0	5	1	10
10000065400	2	0	11	3	10
10000067000	2	0	9	1	10
10000071900	2	0	9	2	10
10000076200	2	0	13	2	10
10000095800	3	0	7	0	10
10000101300	3	0	11	1	10
10000107700	3	0	9	1	10
10000110100	1	0	9	1	10
10000114300	2	0	9	1	10
10000115100	3	0	5	2	10
10000118400	1	0	7	2	10
10000118500	2	0	7	2	10
10000130500	2	0	5	1	10
10000136500	1	0	7	2	10
10000139100	5	0	9	1	10
10000139700	4	0	13	2	10
10000156000	4	0	13	1	10
10000177500	1	0	7	1	10
10000190400	2	0	7	1	10
11000029000	2	0	9	0	11
11000042100	2	0	7	0	11
11000046100	3	0	13	0	11
11000056900	2	0	7	0	11
11000058500	2	0	11	1	11
11000067700	2	0	7	0	11
11000069500	1	0	5	1	11
11000075900	2	0	7	1	11
11000086500	4	0	11	2	11
11000091000	2	0	5	1	11
12000011300	1	0	5	0	12
12000024100	6	0	15	1	12
13000006300	3	0	5	2	13
13000015400	1	0	9	0	13
13000053100	5	0	15	1	13
13000061600	4	0	11	1	13
13000068000	2	0	13	2	13
13000076100	2	0	11	1	13
13000105800	2	0	15	1	13
13000117600	4	0	15	2	13
13000130900	4	0	17	2	13
13000136800	1	0	13	2	13
13000137700	1	0	7	1	13
13000137701	1	0	11	2	261
14000028400	3	0	9	2	14
14000042100	2	0	11	3	14
14000050800	3	0	5	1	14
14000050801	3	0	13	1	121
14000054700	3	0	7	1	13
14000095700	3	0	5	1	14
14000095701	3	0	7	2	261
14000102800	4	0	3	2	14
14000123600	2	0	9	1	14
14000126400	4	0	13	1	14
14000148200	2	0	9	1	14
14000149300	1	0	5	0	14
14000154300	1	0	9	1	14
14000160900	1	0	7	2	14
14000162000	4	0	11	2	14
14000176400	2	0	15	1	14
21000015900	4	0	17	1	21
22000004700	1	0	13	2	22
23000009700	2	0	19	2	23
23000021200	2	0	9	1	23
23000021201	2	0	7	0	54
24000030000	6	0	5	1	24
26000005200	1	0	5	0	26
26000019400	2	0	11	1	26
26000021900	2	0	7	1	26
27000010000	1	0	9	3	27
27000026700	1	0	13	2	27
27000104301	1	0	5	0	261
27000124100	1	0	19	3	27
27000138800	1	0	7	3	27
28000004100	3	0	11	1	28
28000042200	2	0	13	1	28
28000049600	1	0	5	1	28
