householdId;personId;sex;age;license;car_avail;employed
1000011000;1486895700;m;47;yes;always;false
1000022100;1118950300;m;55;yes;always;true
1000022100;1398561100;f;42;yes;always;true
1000032400;1283822400;f;69;yes;never;false
1000039700;991607500;f;46;yes;always;true
1000039700;1192960700;m;46;yes;always;true
1000039700;1355369600;m;9;no;never;false
1000039701;991607501;f;46;yes;always;true
1000039701;1355369601;m;9;no;never;false
1000072700;782860600;m;59;yes;always;false
1000072700;1013535200;m;14;no;never;false
1000072700;1061550100;f;22;no;never;true
1000072700;1067544000;m;19;no;never;false
1000072700;1510790200;f;51;no;never;true
2000001800;852090200;m;56;yes;always;true
2000001800;958333100;f;54;yes;always;true
2000001801;852090201;m;56;yes;always;true
2000001801;958333101;f;54;yes;sometimes;true
2000032800;1078016300;f;68;yes;always;true
2000036000;839410500;f;64;no;never;false
2000036000;1617370400;m;69;yes;always;true
2000050100;968576600;f;55;yes;always;true
2000053400;1185321400;m;50;yes;always;true
2000053400;1274971200;m;20;yes;always;true
2000053400;1403445200;f;46;yes;always;true
2000061300;984982900;f;56;yes;always;false
2000066000;785531000;m;31;yes;always;true
2000102900;1330050100;f;71;no;never;false
2000102900;1436979200;m;74;yes;never;false
2000108200;1156487100;f;68;no;never;false
2000108200;1369102700;m;81;yes;always;false
2000137500;809765000;f;43;yes;never;false
2000137500;1199687200;m;13;no;never;false
2000137500;1240819400;m;44;yes;always;true
2000165000;1102210600;f;58;yes;sometimes;true
2000165000;1315760700;f;69;yes;never;true
2000165000;1534355900;m;64;yes;always;true
2000172400;769016300;f;30;yes;always;true
2000172400;1613710200;m;44;yes;never;true
2000173500;1216582600;f;33;yes;always;true
2000176700;977469500;m;45;yes;never;true
2000184800;761276500;f;27;no;never;false
2000184800;882772100;m;51;yes;always;true
2000184800;990072300;m;2;no;never;false
2000184800;1227934200;m;27;yes;always;true
2000184800;1384186900;f;81;no;never;false
2000184800;1484738500;f;0;no;never;false
2000221600;816220400;f;18;no;never;false
2000221600;1171149000;f;42;yes;always;true
2000221600;1285550900;f;15;no;never;true
2000221600;1335210500;m;45;yes;always;false
2000221800;883511200;f;50;yes;always;true
2000223400;1231650100;m;54;yes;always;false
2000223400;1286748300;f;53;yes;always;true
2000231000;863908700;m;47;yes;always;true
2000252400;857103300;m;16;no;never;true
2000252400;1166337300;f;32;no;never;false
2000294000;787185400;m;22;no;never;false
2000294000;971171000;f;75;no;never;false
2000294000;1069821100;f;43;yes;always;true
2000294000;1428446800;f;18;no;never;true
2000294000;1545848300;m;46;yes;always;true
2000299500;792844500;f;59;yes;always;true
2000299500;1462506500;f;59;no;never;false
2000303300;1194834000;m;72;no;never;false
2000303300;1573018800;f;55;yes;always;true
2000303301;760668701;f;65;no;never;false
2000303301;1194834001;m;72;yes;always;false
2000303301;1573018801;f;55;no;never;true
2000303400;1340652500;m;44;yes;always;true
2000303400;1372550900;f;44;no;never;true
2000307100;815854200;m;28;yes;always;true
2000307100;1024980400;m;63;yes;always;true
2000307100;1286892000;m;25;yes;always;true
2000327600;1280833300;m;57;yes;always;true
2000342800;1446311700;m;47;yes;always;true
2000342900;1215537400;m;49;yes;always;true
2000363500;819480500;f;31;yes;sometimes;true
2000363500;1041601200;f;6;no;never;false
2000363500;1297042200;m;34;yes;sometimes;false
2000366900;825786100;f;17;no;never;false
2000366900;1085480500;f;54;yes;never;true
2000395600;1301943600;f;64;yes;always;false
2000395600;1443731800;m;68;yes;always;false
2000395600;1584770900;m;39;yes;always;true
2000418800;1613488300;f;68;yes;never;false
2000423200;1260886100;m;41;yes;always;true
2000423200;1440808100;f;73;no;never;false
2000423200;1540323100;m;49;yes;always;true
2000438800;1168919200;m;45;yes;sometimes;true
2000438800;1175662300;f;42;yes;always;true
2000444200;792557400;f;4;no;never;false
2000444200;811568800;f;16;no;never;true
2000444200;1167884400;f;38;yes;sometimes;true
2000444200;1172929100;m;20;yes;sometimes;false
2000444700;845637600;m;59;no;never;true
2000444700;1128507700;f;24;yes;always;true
2000444700;1453342400;f;20;no;never;false
2000444700;1520221400;f;59;yes;always;true
2000444700;1530635800;m;23;yes;sometimes;false
2000446500;1053618700;m;34;no;never;true
2000446500;1166978300;f;15;no;never;false
2000446500;1503764000;f;38;yes;always;true
2000446501;1053618701;m;34;yes;always;true
3000003100;860083800;f;5;no;never;false
3000003100;969691600;m;44;yes;always;true
3000003100;1361341100;f;23;yes;sometimes;true
3000003100;1494603200;f;8;no;never;false
3000003100;1605444900;f;40;no;never;true
3000006600;830097100;m;69;yes;always;false
3000006600;1433671700;f;56;yes;always;true
3000013100;1501466400;m;53;yes;always;true
3000013100;1598836300;f;50;yes;always;true
3000033900;1211920200;f;65;no;never;false
3000033900;1440123200;m;24;yes;always;true
3000033900;1535954000;m;65;yes;always;false
3000036200;1082737000;m;25;yes;always;true
3000045800;1546436000;f;51;yes;always;true
3000051200;1395934300;f;69;no;never;false
3000052700;918399300;m;15;no;never;false
3000052700;1177774700;f;44;yes;always;true
3000052700;1362959700;m;45;yes;always;false
3000065800;1236548700;f;91;no;never;false
3000065801;1236548701;f;91;no;never;false
3000092500;1268073000;f;55;yes;never;false
3000103800;1306497900;m;10;no;never;false
3000103800;1391267900;m;54;yes;always;true
3000103800;1539457900;f;49;yes;always;true
3000123600;843538100;m;4;no;never;false
3000123600;935716000;m;44;yes;always;true
3000123600;1375762300;f;34;yes;always;true
3000123600;1376179900;f;6;no;never;false
3000123600;1463792500;f;2;no;never;false
3000133900;765364600;m;6;no;never;false
3000133900;784195300;f;45;yes;always;true
3000133900;890395000;m;64;yes;always;true
3000137700;1087573100;m;15;no;never;false
3000137700;1348028300;f;44;yes;sometimes;true
3000137700;1365598400;m;53;yes;always;true
3000138400;1331844000;f;55;no;never;true
3000145200;1257125800;m;51;yes;always;true
3000145200;1370955700;f;50;yes;always;true
3000145200;1441931500;f;15;no;never;true
3000162900;1292318900;f;29;yes;always;true
3000162900;1586234900;m;32;yes;always;true
3000195500;874155300;m;22;no;never;false
3000195500;909460700;m;54;yes;sometimes;true
3000195500;1164566500;f;51;yes;always;true
3000203900;940005800;m;66;yes;always;false
3000203900;1277955800;f;65;yes;always;false
3000213900;1026481800;f;44;no;never;false
3000213900;1132177200;f;10;no;never;false
3000213900;1208453700;f;13;no;never;false
3000213900;1371659900;m;45;yes;always;true
3000214600;890734200;m;51;yes;always;true
3000214600;913989700;f;52;yes;sometimes;true
3000214600;1194124100;m;25;yes;always;true
3000214600;1568026200;f;21;no;never;false
4000002900;784417100;m;40;yes;always;true
4000002900;846783400;f;8;no;never;false
4000002900;1267371700;f;37;yes;always;false
4000002900;1303473300;f;10;no;never;false
4000002900;1559004100;f;6;no;never;false
4000011900;1299723300;m;1;no;never;false
4000011900;1360461900;f;3;no;never;false
4000011900;1516295400;f;34;yes;sometimes;true
4000011900;1599592900;m;37;yes;sometimes;true
4000034200;992882300;m;79;yes;always;false
4000045700;1369931800;f;94;no;never;false
4000048900;824119500;f;62;yes;always;true
4000048900;1557616600;m;60;yes;sometimes;true
4000057700;1312422000;f;52;yes;always;true
4000069700;1110925600;f;57;yes;always;true
4000109300;942416000;f;23;no;never;true
4000109300;1014151800;m;24;yes;always;true
4000109600;1114476300;m;49;yes;always;true
4000117200;1107936600;f;50;yes;always;false
4000124000;764194300;f;11;no;never;false
