Alternative;Const;Income;Fuel;Fuel2;DistW;Male;Age;Urban;Inertia/Taste;Ac.1;Ac.2;GA;HT;sat_c;sat_i;sat_f
D_00;;;;;;;;;;;;;;4.24;-0.39;0.37
D_01;0.93;-0.07;0.28;-0.04;6.91;0.09;-0.06;-0.5;;;;;;5.36;-0.31;-0.29
D_02;-0.88;0;0.17;-0.04;7.45;0.51;0.16;0.01;;;;;;3.2;-0.22;0.52
D_03;-0.98;-0.1;0.68;-0.13;7.88;0.72;0.09;0.06;;;;;;0.82;2.47;1.81
D_04;-3.45;0.15;1.23;-0.22;6.97;0.48;0.13;-0.21;;;;;;3.33;-0.03;-0.3
D_05;-2.48;0.18;-0.34;0.01;7.33;0.07;0.35;-0.47;;;;;;4.45;-0.2;0.03
D_06;-5.21;0.03;0.94;-0.14;6.66;1.09;0.5;0.32;;;;;;-1.38;0.42;0.05
B_00;1.18;0.02;-0.05;;7.52;-1.67;-0.01;-0.28;;;;;;1.2;-0.13;0.07
B_01;2.38;-0.17;-0.19;;6.92;-0.65;0.26;-0.1;;;;;;2.99;-0.14;-0.21
B_02;1.51;-0.04;-0.3;;7.44;-0.22;0.2;0.04;;;;;;3.64;-0.17;-0.14
B_03;1.17;0.02;-0.46;;7.92;0.14;-0.01;0.28;;;;;;2.63;-0.1;-0.2
B_04;1.69;-0.01;-0.32;;6.81;0.55;-0.03;0.44;;;;;;3.22;-0.2;0.15
B_05;-0.38;0.07;-0.51;;7.35;1.82;-0.08;0.39;;;;;;3.98;-0.21;-0.13
B_06;-0.39;0.12;-0.34;;6.81;-0.24;0.1;-0.83;;;;;;2.94;-0.16;0.07
B_07;1.77;0.1;-0.39;;7.87;-0.17;-0.24;-0.18;;;;;;0.39;0.01;-0.07
U_00;-0.63;-0.05;0.15;;7.19;-0.85;0.34;0.25;;0.05;0.16;;;0.54;2.39;1.68
P_00;4.02;-0.12;-0.24;;7.35;-0.28;0.23;0.23;;0.01;-0.02;2.23;1;-4.21;0.11;0.08
